"LocalityString"	"Drainage"	"Country"	"State"	"County"	"Continent"
Tamiami Canal 27.3 mi. W Miami, or 20.5 mi. W jct. Hwys. 41 & 27.	Gulf of Mexico	United States of America	Florida	Dade	North America
Gulf of Mexico at Naples city fishing pier.	Gulf of Mexico	United States of America	Florida	Collier	North America
Canal, 11.2 mi. E jct. US Hwy.41 & FL Hwy. 846, on 846, or 21.6 mi. NE Naples by road.	Gulf of Mexico	United States of America	Florida	Collier	North America
Pine Island Sound at Pineland.	Gulf of Mexico	United States of America	Florida	Lee	North America
Alligator Harbor at the Alligator Marine Laboratory.	Gulf of Mexico	United States of America	Florida	Franklin	North America
Boatlanding on West Arm, 2.9 mi. NE Wewahitchka.	Apalachicola River	United States of America	Florida	Gulf	North America
Slough, downstream from West Arm, Chipola Cut-off, about 3 mi. E Wewahitchka.	Apalachicola River	United States of America	Florida	Gulf	North America
Side lagoon of Chipola Cut-off, about 4 mi. NE Wewahitchka.	Apalachicola River	United States of America	Florida	Gulf	North America
Chipola River, 1.2 mi. E Clarksville, Hwy. 20.	Apalachicola River	United States of America	Florida	Calhoun	North America
Apalachicola River at Jim Woodruff Dam.	Apalachicola River	United States of America	Florida	Gadsden	North America
Apalachicola River, at end of catwalk below Jim Woodruff Dam.	Apalachicola River	United States of America	Florida	Gadsden	North America
Apalachicola River at bottom of Jim Woodruff Dam at Chattahoochee.	Apalachicola River	United States of America	Florida	Gadsden	North America
Choctawhatchee Bay at mouth of Choctawhatchee River.	Choctawhatchee Bay	United States of America	Florida	Walton	North America
Boat slip at north end of causeway, Hwy. 331.	Choctawhatchee Bay	United States of America	Florida	Walton	North America
Bay on inside of beach at town of Inlet Beach.	Gulf of Mexico	United States of America	Florida	Bay	North America
San Carlos Bay at Sanibel lighthouse, Sanibel Island.	Gulf of Mexico	United States of America	Florida	Lee	North America
San Carlos Bay at Sanibel, Sanibel Island.	Gulf of Mexico	United States of America	Florida	Lee	North America
Blind Pass between Sanibel & Captiva Islands.	Gulf of Mexico	United States of America	Florida	Lee	North America
Roadside pools, 1.4 mi. E Punta Rassa, Hwy. 867.	Gulf of Mexico	United States of America	Florida	Lee	North America
Gulf of Mexico at Clearwater Beach.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Ochlockonee Bay at mouth of Ochlockonee River, N side.	Ochlockonee River	United States of America	Florida	Wakulla	North America
Apalachicola Bay, 3 mi. E Apalachicola, Hwy. 98.	Gulf of Mexico	United States of America	Florida	Franklin	North America
Gulf of Mexico at Clearwater Beach.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Gulf of Mexico at Clearwater Beach.	Gulf of Mexico	United States of America	Florida	Pinellas	North America
Atlantic Ocean at St. Simons Island, 5 mi. E Brunswick.	Atlantic Ocean	United States of America	Georgia	Glynn	North America
Tidal marsh pools, trib. to Brunswick River at Brunswick.	Brunswick River	United States of America	Georgia	Glynn	North America
South Prong St. Marys River, 2 mi. S Glen St. Mary.	St. Marys River	United States of America	Florida	Baker	North America
South Prong St. Marys River 4 mi. S Sanderson, Hwy. 229.	St. Marys River	United States of America	Florida	Baker	North America
Gulf of Mexico at wayside park beach at end of Hwy. 370.	Gulf of Mexico	United States of America	Florida	Franklin	North America
Carrabelle River at Carrabelle, Hwy. 98.	Carrabelle River	United States of America	Florida	Franklin	North America
Trib. to Econfina River, 0.5 mi. W Youngstown.	St. Andrews Bay	United States of America	Florida	Bay	North America
Bayou, trib. to Lake Theriot, 12 mi. SW Houma.	Gulf of Mexico	United States of America	Louisiana	Terrebonne	North America
Cave Springs at town of Cave Springs.	Arkansas River	United States of America	Arkansas	Benton	North America
Apalachicola River between US Hwy. 90 bridge & Jim Woodruff Dam.	Apalachicola River	United States of America	Florida	Gadsden	North America
Apalachicola River at mouth of Spring Branch about 10 mi. S Chattahoochee.	Apalachicola River	United States of America	Florida	Jackson	North America
Shelta Cave at Huntsville, Link Avenue just off Pulaski Hwy.	?	United States of America	Alabama	Madison	North America
Shelta Cave at Huntsville, Link Avenue just off Pulaski Hwy.	?	United States of America	Alabama	Madison	North America
Rio Barranca about 3km W Esparanta, Pan American Hwy.	Rio Barranca	Costa Rica	Puntarenas		North America
Rio Sapoa af. Resguardo about 300 yards S Nicaragua-Costa Rica border, Pan American Hwy.	Lago de Nicaragua	Costa Rica	Guanacaste		North America
Pacific Ocean at El Coco.	Pacific Ocean	Costa Rica	Guanacaste		North America
Rio Sardinal, 7km SE from El Coco or 8km SW Comunidad.	Rio Tempisque	Costa Rica	Guanacaste		North America
Rio Canas at town of Rio Canas.	Rio Tempisque	Costa Rica	Guanacaste		North America
Rio Tempisque, 18km SW Liberia.	Rio Tempisque	Costa Rica	Guanacaste		North America
Rio Sapoa at Lago de Nicaragua at Sapoa.	Lago de Nicaragua	Nicaragua	Rivas		North America
Trib. to Rio Sapoa 4km SE from migration station at Nicaraguan border; Pan American Hwy.	Lago de Nicaragua	Costa Rica	Guanacaste		North America
Rio Los Ahogados 17km NW Liberia, Pan American Hwy.	Rio Tempisque	Costa Rica	Guanacaste		North America
Rio Potrero, 6km NW Bagaces, Pan American Hwy.	Rio Bebedero	Costa Rica	Guanacaste		North America
Rio Enmedio, 3km W Bagaces, Pan American Hwy.	Rio Bebedero	Costa Rica	Guanacaste		North America
Rio Abangares, 1km SE Limonal, or 3km NW Irma, Pan American Hwy.	Rio Abangares	Costa Rica	Guanacaste		North America
Rio Uruca at San Ana.	Rio Grande de Tarcoles	Costa Rica	San Jose		North America
Quebrada Azul about 3 km W of San Ana.	Rio Grande de Tarcoles	Costa Rica	San Jose		North America
Rio Reventazon about 6km SE Turrialba.	Rio Parismina	Costa Rica	Cartago		North America
Rio Turrialba at Turrialba.	Rio Parismina	Costa Rica	Cartago		North America
Rio Chiz, trib. to Rio Reventazon about 1km NE Juan Vinas.	Rio Reventazon	Costa Rica	Cartago		North America
Rio Moin at Moin.	Rio Moin	Costa Rica	Limon		North America
Rio Portete about 2km E of Moin.	Rio Portete	Costa Rica	Limon		North America
Rio Cieneguita at E edge of Limon.	Rio Cieneguita	Costa Rica	Limon		North America
Rio Banano 2 mi. E Limon along road to Westfalia.	Rio Banano	Costa Rica	Limon		North America
Rio Sarapiqui about 5km S Puerto Viejo, just above mouth of Rio Puerto Viejo.	Rio San Juan	Costa Rica	Heredia		North America
Trib. to Rio Sarapiqui about 1 mi. W Chilamate.	Rio San Juan	Costa Rica	Heredia		North America
Trib. to Rio Sarapiqui about 5km SW La Virgen.	Rio San Juan	Costa Rica	Heredia		North America
Pearl River, 3.5 miles E of Sandy Hook.	Pearl River	United States of America	Mississippi	Marion	North America
Rio Tempisque, 18km SW Liberia.	Rio Tempisque	Costa Rica	Guanacaste		North America
Boca del Rio Sapoa at Sapoa.	Lago de Nicaragua	Nicaragua	Rivas		North America
Mouth of Rio Sapoa at Sapoa on Lago de Nicaragua.	Rio Sapoa	Nicaragua	Rivas		North America
Rio San Juan on Nicaraguan side, 0.25 mi. upstream from Trinidad.	Atlantic Ocean	Nicaragua	Rio San Juan		North America
Rio San Juan, 0.25 & 1 mi. upstream from Trinidad, Nicaragua.	Rio San Juan	Nicaragua-Costa Rica	Rio San Juan-Heredia		North America
Trib. to Rio San Juan about 10 mi. W Trinidad.	Rio San Juan	Costa Rica	Heredia		North America
Caminada Bay at NE end of Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Gulf of Mexico near SE end of Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Caminada Bay & tide pools at SW end of Grand Isle.	Gulf of Mexico	United States of America	Louisiana	Jefferson	North America
Mississippi River & flood pools near Bonnet Carre Spillway at Norco.	Mississippi River	United States of America	Louisiana	St. Charles	North America
Apalachicola River about 1 mi. below Chattahoochee.	Apalachicola River	United States of America	Florida	Gadsden	North America
Pearl River, about 3 mi. N of Georgetown.	Pearl River	United States of America	Mississippi	Copiah	North America
Arroyo Jimenez, trib. to Rio Soto la Marina 2 mi. S Jimenez, Hwy. 101.	Rio Soto la Marina	Mexico	Tamaulipas		North America
Rio Purificacion, trib. to Rio Soto la Marina, 24 mi. S Jimenez.	Rio Soto la Marina	Mexico	Tamaulipas		North America
Rio Axtla at road to Axtla off Hwy. 85 about 1 mi.	Rio Panuco	Mexico	San Luis Potosi		North America
Rio Barranca 3km W Esparta, Pan American Hwy.	Rio Barranca	Costa Rica	Puntarenas		North America
Rio Ciruelitas about 9km NW Esparta, Pan American Hwy.	Rio Ciruelitas	Costa Rica	Puntarenas		North America
Rio Santo Ines, 3km NW Liberia, Pan American Hwy.	Rio Tempisque	Costa Rica	Guanacaste		North America
Rio Colorado, 6km NW Liberia, Pan American Hwy.	Rio Tempisque	Costa Rica	Guanacaste		North America
Rio Irigaray, 13km NW Liberia, Pan American Hwy.	Rio Tempisque	Costa Rica	Guanacaste		North America
Boca del Rio Sapoa at Sapoa.	Lago de Nicaragua	Nicaragua	Rivas		North America
Rio las Vueltas 5km SE Costa Rican & Nicaraguan border, Pan American Hwy.	Lago de Nicaragua	Costa Rica	Guanacaste		North America
Rio Tempisque, 19km SW Liberia.	Rio Tempisque	Costa Rica	Guanacaste		North America
Rio Liberia, 5km SW Liberia.	Rio Tempisque	Costa Rica	Guanacaste		North America
Boca del Rio Sapoa at Lago de Nicaragua.	Rio San Juan	Nicaragua	Rivas		North America
Rio Sapoa at Costa Rican & Nicaraguan border, Pan American Hwy.	Lago de Nicaragua	Costa Rica	Guanacaste		North America
Rio Virilla, 4km NW San Jose.	Rio Grande de Tarcoles	Costa Rica	San Jose		North America
Rio Pacuare, 6km SW San Isidro del General.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Boca del Rio Baru at Dominical.	Rio Baru	Costa Rica	Puntarenas		North America
Rio Baru 1km N Dominical.	Rio Baru	Costa Rica	Puntarenas		North America
Rio Baru 4km N Dominical.	Rio Baru	Costa Rica	Puntarenas		North America
Rio Pacuar 6km SW San Isidro del General.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Trib. to Rio Pacuare 4km SW San Isidro del General.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Rio Penas Blancas 16km SE San Isidro, Pan American Hwy.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Trib. to Rio General 11km SE San Isidro del General.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Borrow pit in Bonnet Carre Spillway near Norco.	Mississippi River	United States of America	Louisiana	St. Charles	North America
North & South Double Creeks 3 mi. N of jct. with AL Hwy. 10 on AL Hwy. 79.	Tombigbee River	United States of America	Alabama	Marengo	North America
San Marcos River at San Marcos.	Guadalupe River	United States of America	Texas	Hays	North America
Onion Creek on Interstate Hwy. 35 & US Hwy. 81, 10 mi. SSW Austin.	Colorado River	United States of America	Texas	Travis	North America
Nueces River 11 mi. W Batesville, Hwy. 76	Nueces River	United States of America	Texas	Zavala	North America
San Felipe Springs flow in park at Del Rio.	Rio Grande	United States of America	Texas	Val Verde	North America
San Felipe Springs just below Del Rio city water plant.	Rio Grande	United States of America	Texas	Val Verde	North America
Rio de Sabinas, about 2 mi. W Rosita.	Rio Grande	Mexico	Coahuila		North America
El Potrero; captured over springs SW of Nueva Rosita at base of Sierra St. Rosa.	Rio Grande	Mexico	Coahuila		North America
Rio Salado 'O de los Nadadores about 1 mi. S Hermanas, Hwy. 57.	Rio Grande	Mexico	Coahuila		North America
El Potrero, 21 mi. WSW Nueva Rosita; subterranean to Rio Grande del Norte.	Rio Grande	Mexico	Coahuila		North America
Rio de los Nadadores trib. to Rio Salado, about 15 mi. W Monclova.	Rio Grande	Mexico	Coahuila		North America
Rio Soto la Marina at Soto la Marina.	Rio Soto la Marina	Mexico	Tamaulipas		North America
Rio Corona, 12 mi. SW Padilla, Hwy. 101.	Rio Soto la Marina	Mexico	Tamaulipas		North America
Rio Purificacion at Padilla, Hwy. 101.	Rio Soto la Marina	Mexico	Tamaulipas		North America
Rio Guayalejo, Hwy. 85 at Llera.	Rio Panuco	Mexico	Tamaulipas		North America
Rio Panuco, 4 mi. W Tampico, Hwy. 110.	Rio Panuco	Mexico	Tamaulipas		North America
"11 mi. W Tampico on Hwy. 110."	Rio Panuco	Mexico	Tamaulipas		North America
Rio Axtla, 3 mi. N Jalpilla.	Rio Panuco	Mexico	San Luis Potosi		North America
Gulf of Mexico, 6-10km S of Veracruz on beach road.	Gulf of Mexico	Mexico	Veracruz		North America
Rio Atoyac, 20 mi. SSE of Veracruz, Hwy. 150.	Rio Atoyac	Mexico	Veracruz		North America
Trib. to Rio de la Antigua 3 mi. SE Paso de Ovejas, Hwy. 140.	Rio Antigua	Mexico	Veracruz		North America
Trib. to Laguna Mandinga Grande, 9 mi. S jct. Hwys. 150 & 180 on Hwy. 180.	Laguna Mandinga Grande	Mexico	Veracruz		North America
Lago de Alvarado, 9 mi. SE of Salinas, Hwy. 180.	Gulf of Mexico	Mexico	Veracruz		North America
Trib. to Rio San Juan near Lerdo de Tejada, Hwy. 180.	Rio Papaloapan	Mexico	Veracruz		North America
Small stream, 7 mi. SE Santa Teresa, Hwy. 180.	Rio San Juan	Mexico	Veracruz		North America
Trib. to Rio Tuxtla, 2 mi. W San Andres Tuxtla, Hwy. 180.	Rio San Juan	Mexico	Veracruz		North America
Roadside pools 2 mi. S of turnoff to Chiltepec, E side of Hwy. 180.	Gulf of Mexico	Mexico	Tabasco		North America
Tide pool along S side of Hwy., 9 mi. E of Isla Aguada, Hwy. 180.	Gulf of Mexico	Mexico	Campeche		North America
Cenote at Dzibilchaltun: subterranean.	Subterranean	Mexico	Yucatan		North America
Lagoon 0.5 mi. S of Progresso on road between Merida & Progresso.	Gulf of Mexico	Mexico	Yucatan		North America
Cenote across Hwy. 180 from Mayaland Hotel at Chichen Itza: subterranean.	?	Mexico	Yucatan		North America
E inlet to Laguna de Terminos at Aguada.	Gulf of Mexico	Mexico	Campeche		North America
Isolated pond 13 mi. E of Alvaro Obregon (Frontera), Hwy. 180.	Bay of Campeche	Mexico	Tabasco		North America
Atlantic Ocean, Cruise #10.	Atlantic Ocean				Atlantic Ocean
Rio ? on N side of Hwy. 180, 26 mi. SW Alvaro Obregon.	Rio Nuevo Gonzalez	Mexico	Tabasco		North America
Trib. to Rio de la Antigua, 9 mi. SE Paso de Orejas, Hwy. 140.	Rio Antigua	Mexico	Veracruz		North America
Cueva de Rancho Viejo, 6 mi. NE El Pujal: subterranean.	Subterranean	Mexico	San Luis Potosi		North America
Cueva de los Sabinos, about 18km NE Valles: subterranean.	Subterranean	Mexico	San Luis Potosi		North America
Waccasassa River on northern edge of Gulf Hammock, US Hwy. 19.	Waccasassa River	United States of America	Florida	Levy	North America
Rio Peje, trib. to Rio Pacuare, 6.2 mi. S of San Isidro del General.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Rio Convento, 20.3 mi. SE San Isidro del General.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Rio Volcan trib. to Rio General, 29.9 mi. SE San Isidro.	Rio Grande de Terraba	Costa Rica	Puntarenas		North America
Rio Grande de Terraba at Puerto Cortes.	Rio Grande de Terraba	Costa Rica	Puntarenas		North America
Trib. to Rio Grande de Terraba, 4.5 mi. E Puerto Cortes.	Rio Grande de Terraba	Costa Rica	Puntarenas		North America
Rio Camaronal 2 mi. W Palmar Norte on road to Puerto Cortes.	Rio Grande de Terraba	Costa Rica	Puntarenas		North America
Rio Culebra, trib. to Estero la Hoya, 5.2 mi. S Palmar Norte.	Rio Sierpe	Costa Rica	Puntarenas		North America
Rio Piedras Blancas trib. to Rio Esquinas, 22.4 mi. S Palmar Norte.	Rio Esquinas	Costa Rica	Puntarenas		North America
Rio Chiriqui Viejo, 0.4 mi. S of Costa Rican border, Pan American Hwy.	Rio Chiriqui Viejo	Panama	Chiriqui		North America
Rio Corredor, trib. to Rio Coto at Corredor.	Rio Coto	Costa Rica	Puntarenas		North America
Small trib. to Rio Corredor, 1.4 mi. N Corredor.	Rio Coto	Costa Rica	Puntarenas		North America
Small trib. to Rio Salamo Viejo, 18.7 mi. SE Palmar Norte.	Rio Sierpe	Costa Rica	Puntarenas		North America
Rio Grande de Terraba at Palmar Norte.	Rio Grande de Terraba	Costa Rica	Puntarenas		North America
Rio Grande de Terraba, 22.3 mi. E Palmar Norte, on Pan American Hwy.	Rio Grande de Terraba	Costa Rica	Puntarenas		North America
Apalachicola River below Jim Woodruff Dam at Chattahoochee.	Apalachicola River	United States of America	Florida	Gadsden-Jackson	North America
Apalachicola River below Jim Woodruff Dam at Chattahoochee.	Apalachicola River	United States of America	Florida	Gadsden-Jackson	North America
Trib. to Locust Fork, 1 mi. SW Horton, Hwy. 75.	Tombigbee River	United States of America	Alabama	Marshall	North America
Trib. to Town Creek about 1 mi. SE Rainsville, Hwy. 35.	Tennessee River	United States of America	Alabama	DeKalb	North America
Trib. to Flat Creek about 5 mi. SW Monroe, Hwy. 138.	Altamaha River	United States of America	Georgia	Walton	North America
Trib. to Little River 2 mi. N Newborn on Hwy. 229.	Altamaha River	United States of America	Georgia	Newton	North America
South Fork of Broad River, 1 mi. W Comer, Hwy. 72.	Savannah River	United States of America	Georgia	Madison	North America
Trib. to S Tyger River 0.75 mi. E Tigerville, Hwy. 414.	Santee River	United States of America	South Carolina	Greenville	North America
Caribbean Sea.	Atlantic Ocean				Caribbean Sea
Apalachicola River near Chattahoochee.	Apalachicola River	United States of America	Florida	Gadsden	North America
Arroyo Chorreras 19 mi. S of San Fernando, Hwy. 101.	Rio San Fernando	Mexico	Tamaulipas		North America
Rio Salto (El Naranjo) trib. to Rio Santa Maria at Naranjo.	Rio Panuco	Mexico	San Luis Potosi		North America
Trib. to Rio Salto, 3 mi. W of El Naranjo, Hwy. 80.	Rio Panuco	Mexico	San Luis Potosi		North America
Laguna de Cahriel, just W of Tampic.	Rio Panuco	Mexico	Veracruz		North America
Trib. to Paso de la Milpa, 7 mi. NW of Riconada, Hwy. 140.	Rio Actopan	Mexico	Veracruz		North America
Rio Jaltepec, 47.9 mi South Acayucan, Hwy 185	Rio Coatzacoalas	Mexico		Veracruz	North and Central America
Rio Maloteugo 40.4 mi. N Union Hidalgo, Hwy. 185.	Rio Coatzacoalcos	Mexico	Oaxaca		North America
Rio de Chiapa o Grijalva 6.5 mi. SE Tuxtla Gutierres, Hwy. 190.	Rio Usumacinta	Mexico	Chiapas		North America
Rio Nacaome near Nacaome, Pan American Hwy.	Rio Nacaome	Honduras	Valle		North America
Washington Creek 6 mi. SW Marion, Hwy. 183.	Alabama River	United States of America	Alabama	Perry	North America
[Mills Creek], trib. to Chattooga River about 6 mi. W Lyerly.	Alabama River	United States of America	Georgia	Chattooga	North America
Trib. to Little Tennessee River, 7 mi. NW Franklin, Hwy. 28.	Tennessee River	United States of America	North Carolina	Macon	North America
Trib. to Hiwassee River (Chatuge Resevoir) 4 mi. E Hiwassee, Hwy. 76.	Tennessee River	United States of America	Georgia	Towns	North America
Little Bayou Sara 15 mi. NW St. Francisville, LA, Hwy. 66.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Backwater of Pearl River ca. 1.5 miles E of Sandy Hook.	Pearl River	United States of America	Mississippi	Marion	North America
Rio Repunta, trib. to Rio Pacuare (? km) E San Isidro del General.	Rio Grande de Terraba	Costa Rica	San Jose		North America
Rio Grande de Terraba at Puerto Cortes.	Rio Terraba	Costa Rica	Puntarenas		North America
Bonnet Carre Spillway borrow pits near Norco.	Mississippi River	United States of America	Louisiana	St. Charles	North America
Hobolochitto Creek 0.9 mi. N of Picayune, Hwy. 11.	Pearl River	United States of America	Mississippi	Pearl River	North America
Tuscumbia Springs at Tuscumbia.	Tennessee River	United States of America	Alabama	Colbert	North America
Pearl River between mouth of Coburn & Bogalusa Creeks 1.4 mi. E of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River between mouth of Coburn & Bogalusa Creeks; 1.4 mile E of Hwy. 7 in Bogalusa	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mi. downstream from Richardson Landing; 1.5 miles SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Dead Lake (Chipola River) about 11 mi. N of Wewahitchka.	Chipola River	United States of America	Florida	Calhoun	North America
St. Andrews Bay at Panama City.	St. Andrew Bay	United States of America	Florida	Bay	North America
Chipola River 2 mi. N of Marianna, Hwy. 167.	Apalachicola River	United States of America	Florida	Jackson	North America
"11.4 mi. S of Clarksville on Hwy. 7 [Cypress Creek at Hwy. 73].; or 0.7 mi. S of Hwy. 392."	Apalachicola River	United States of America	Florida	Calhoun	North America
Apalachicola River below Jim Woodruff Dam at Hwy. 90 bridge.	Apalachicola River	United States of America	Florida	Gadsden	North America
Chipola Cutoff at Apalachicola River end.	Apalachicola River	United States of America	Florida	Gulf	North America
Apalachicola River at Chattahoochee, US Hwy. 90.	Apalachicola River	United States of America	Florida	Gadsden	North America
Flat Creek, trib. to Apalachicola River; 6 mi. S of Chattahoochee, Hwy. 269.	Apalachicola River	United States of America	Florida	Gadsden	North America
Sabine River, 8 mi. S of Toro.	Sabine River	United States of America	Louisiana	Sabine	North America
Caney Creek, trib. to Sabine River, 2.5 mi. W Toro.	Sabine River	United States of America	Louisiana	Sabine	North America
Blackland Slough, 2 mi. SW of Clare.	Sabine River	United States of America	Louisiana	Sabine	North America
Sabine River 7.5 mi. SW of Toro, at Anthony's Ferry Landing.	Sabine River	United States of America	Louisiana	Sabine	North America
Pearl River between Coburn & Bogalusa Creeks; 1.4 miles E of Hwy.7 in Bogalusa	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mile downstream from Richardson Landing; 1.5 miles SE of Bogalusa	Pearl River	United States of America	Louisiana	Washington	North America
Independence Creek 28 mi. S of Sheffield; Chandler Ranch; trib. to Pecos River.	Pecos River	United States of America	Texas	Terrell	North America
Spring fed pond on Chandler Ranch, 28 mi. SE of Sheffield.	Rio Grande	United States of America	Texas	Terrell	North America
Independence Creek, 28 mi. S Sheffield, about 1 mi. from its mouth.	Pecos River	United States of America	Texas	Terrell	North America
Independence Creek, trib. to Pecos River 23 mi. SE Sheffield, TX Hwy. 349.	Pecos River	United States of America	Texas	Terrell	North America
Iron Creek, trib. to Willow Creek 20 mi. E Mogollon.	Gila River	United States of America	New Mexico	Catron	North America
Pearl River 0.5 mile downstream from Richardson Landing or 1.5 miles SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above dam at Pools Bluff, 4 miles S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at mouth of Cypress Bayou	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Hwy. 7 in Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above dam at Pools Bluff; 4 Miles S of Bogalusa	Pearl River	United States of America	Louisiana	Washington	North America
East Pearl River at lower end of Nancy's Reach; 6 mi. E of Talisheek.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River between Coburn & Bogalusa Creeks; 1.4 mi. E of Hwy. 7 in Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 54; 2.3 mi. SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above sill at Pools Bluff; 4 mi. S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mile downstream from Richardson Landing or 1.5 mile SE of Bogalusa (west or right bank of river)	Pearl River	United States of America	Louisiana	Washington	North America
unspecified	Caribbean Sea				Caribbean Sea
Pearl River at River Mile 53.7, 2.3 miles SE of Bogalusa (right bank)	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above dam at Pools Bluff, 4 miles S of Bogalusa (left bank).	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River between mouth of Coburn & Bogalusa Creeks, 1.4 miles E of Hwy. 7 in Bogalusa (right bank).	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mile downstream from Richardson Landing, 1.5 mile SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 53.7; 2.3 miles SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above dam at Pools Bluff, 4 miles S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River between mouth of Coburn & Bogalusa Creeks; 1.4 mi. E of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River, 0.5 mi. downstream from Richardson Landing; 1.5 mi. SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 53.7; 2.3 mi. SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Rio Axtla, trib. to Rio Moctezuma, 1.5 mi. from jct. with Mexico Hwy. 85.	Rio Panuco	Mexico	San Luis Potosi		North America
Laguna la Preciosa 3 mi. SSE of Laguna Alchichica over dirt road.	?	Mexico	Puebla		North America
Laguna Quechulac 4.5 mi. ESE of Hwy. 65 & La Laguna Alchichica.	?	Mexico	Veracruz		North America
La Laguna Alchichica 1.5 mi. S San Jose Alchichica, Hwy. 140 (65).	?	Mexico	Puebla		North America
Spring-fed irrigation ditch by Hwy. 140, 3.3 mi. N of intersection with Hwy. 150.	?	Mexico	Puebla		North America
Rio Lerma 12.5 mi. NW Toluca on Hwy. 45.	Lago de Chapala	Mexico	Distrito Federal		North America
Trib. to Rio San Juan del Rio 2.6 mi. N of road to Aculco; near 172km post.	Rio Panuco	Mexico	Distrito Federal		North America
Rio Lerma 1.8 mi. S of Salvatierra, Hwy. 35.	Rio Lerma	Mexico	Guanajuato		North America
Laguna de Yuriria 8.2 mi. around W end from town of Yuriria.	Rio Lerma	Mexico	Guanajuato		North America
Lago de Cuitzeo - S shore near causeway, 3.3 mi. S of Cuitzeo.	?	Mexico	Michoacan		North America
Presa Cuitzeo on the Rio Grande de Morelia, 9.6 mi. S of downtown Morelia.	Rio Balsas	Mexico	Michoacan		North America
Lago below banario Cuitzeo near Cuitzeo, about 6 mi. SW Morelia.	Rio Balsas	Mexico	Michoacan		North America
Lago de Zirahuen, 19 mi. S of Patzcuaro.	?	Mexico	Michoacan		North America
Laguna de Zacapu at Zacapu	Unknown	Mexico	Michoacan		North America
Lago de Chapala 1.6 mi. W of the town of Chapala.	Rio Grande de Santiago	Mexico	Jalisco		North America
Lago de Chapala, 15.8 mi. W of town of Chapala at town of Jocotepec.	Rio Grande de Santiago	Mexico	Jalisco		North America
Lago de Chapala, 1.6 mi. W of town of Chapala.	Rio Grande de Santiago	Mexico	Jalisco		North America
Lago de Chapala, 4.8 mi. W of town of Chapala at Ajijic.	Rio Grande de Santiago	Mexico	Jalisco		North America
Trib. to trib. to Rio San Juan 4.5 mi. S Arteaga; 14.5 mi. S Sautillo, Hwy. 57.	Rio Papaloapan	Mexico	Coahuila		North America
Pearl River between mouth of Coburn & Bogalusa Creeks; 1.4 mi. E of Hwy. 7 in Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Yellow Lake Bayou about 100 yards from mouth at West Pearl River.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River just above mouth of Coburn Creek; 1.5 miles E of Hwy. 7 in Bogalusa	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River between mouth of Coburn & Bogalusa Creeks; 1.4 mi. E of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mi. below Richardson Landing; 1.5 mi. SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 54; 2.3 mi. SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
